obj,k,test_number,ratio_TS,ratio_EB
CES-2,10,27,1.3729801904218175,1.1384531529357065
CES-2,10,28,1.4111984588733817,1.1752086263064594
CES-2,10,29,1.4007998006470672,0.9422392767790798
CES-2,10,30,1.4018092120143508,0.9508370095658788
CES-2,10,31,1.3819196610267153,0.973625930199769
CES-2,10,32,1.3936666110599498,1.287365038084249
CES-2,10,33,1.3923942114722694,0.9421446839485084
CES-2,10,34,1.3950684818867811,1.066145649338063
CES-2,10,35,1.3737800722488178,0.967608707529304
CES-2,10,36,1.3985234096783363,0.9641485289635966
CES-2,10,37,1.4131704854509093,1.1231557198787832
CES-2,10,38,1.352494442572704,0.96760417564682
CES-2,10,39,1.4427217900334408,1.1038986581020047
CES-2,10,40,1.4611830740734482,0.983456311041634
CES-2,10,41,1.3845451622390434,1.0347536992067357
CES-2,10,42,1.4346584535517013,1.0018107100802311
CES-2,10,43,1.471657994211178,0.990093161591639
CES-2,10,44,1.4695356446687426,1.023968806370416
CES-2,10,45,1.4626707832232215,1.0309401349776277
CES-2,10,46,1.4445902508504378,1.228997390430426
CES-2,10,47,1.4371840331235566,1.0892160031907503
CES-2,10,48,1.4576900840503206,1.067726748953384
CES-2,10,49,1.4085244058532709,1.0054198051581764
CES-2,10,50,1.4366245066505028,0.9508624777401804
square_root,10,1,1.6031261285416285,1.0878726450924714
