obj,k,measure,test_number,ratio_TS,ratio_EB
max,10,"(2, 8)",13,2.4191156889495806,1.0163439445097937
max,10,"(2, 8)",14,2.376809335648844,0.9995857464731768
max,10,"(2, 8)",15,2.411073908616071,1.000003137599111
max,10,"(2, 8)",16,2.4730882790837647,0.995439903658582
max,10,"(2, 8)",17,2.41298278191082,0.998026116413366
max,10,"(2, 8)",18,2.36609991860778,0.9854915272244088
max,10,"(2, 8)",19,2.3544280372712483,1.014179767122292
max,10,"(2, 8)",20,2.413841462130174,0.9926784178050092
max,10,"(2, 8)",21,2.376328895740908,0.9958213008439764
max,10,"(2, 8)",22,2.467464197205429,0.9850854270151888
max,10,"(2, 8)",23,2.485078655203833,1.0134861205968244
max,10,"(2, 8)",24,2.403705616164449,0.9949211669181514
max,10,"(2, 8)",25,2.386467284281576,1.0062367256167994
max,10,"(2, 8)",26,2.308193518810929,0.9507710486937782
max,10,"(2, 8)",27,2.410832375718106,1.02449713493894
max,10,"(2, 8)",28,2.386542137616903,0.9941516909739264
max,10,"(2, 8)",29,2.477237861456992,1.0165896864008206
max,10,"(2, 8)",30,2.470128465185917,0.9849165043975274
max,10,"(2, 8)",31,2.3610819067928848,1.008767801011092
max,10,"(2, 8)",32,2.418301738635538,0.98375028053586
max,10,"(2, 8)",33,2.455252352779735,1.0007741781518134
max,10,"(2, 8)",34,2.445687476580694,1.0025083170729077
max,10,"(2, 8)",35,2.453545900746497,0.9958928174482108
max,10,"(2, 8)",36,2.3953182846508425,1.0026735537280695
max,10,"(2, 8)",37,2.408908525591861,0.9942935844455302
max,10,"(2, 8)",38,2.4019599148444613,0.9975253265219984
max,10,"(2, 8)",39,2.429139512650345,0.986658245430245
max,10,"(2, 8)",40,2.4489149469945874,0.9949023751970084
max,10,"(2, 8)",41,2.3469124318983865,1.0458823619606166
max,10,"(2, 8)",42,2.389984338722913,0.9827753293561096
max,10,"(2, 8)",43,2.3566165221486024,1.0069782266630585
max,10,"(2, 8)",44,2.3522906899104723,1.0126931032557085
max,10,"(2, 8)",45,2.453220944181959,1.0129201720890837
max,10,"(2, 8)",46,2.4043519771417574,1.012080323138686
max,10,"(2, 8)",47,2.428189200191836,1.0086078744095957
max,10,"(2, 8)",48,2.3835235321678803,0.982478460466016
max,10,"(2, 8)",49,2.335957898460844,0.9936690651812344
max,10,"(2, 8)",50,2.4015835576803903,1.0097822418263829
CES-2,10,"(2, 8)",1,1.6268641819739358,1.0175112355827085
CES-2,10,"(2, 8)",2,1.618352127398805,1.018135613576014
